[[88.0, 147.0], [98.0, 131.0]] [[24.0, 138.0], [55.0, 150.0]] 46.4987052303 650146.568333
[[98.0, 131.0], [97.0, 150.0]] [[108.0, 144.0], [98.0, 136.0]] 6.39931695118 650268.323641
[[88.0, 147.0], [97.0, 150.0]] [[98.0, 136.0], [108.0, 133.0]] 16.4833481249 650424.698412
[[98.0, 131.0], [88.0, 147.0]] [[108.0, 144.0], [108.0, 133.0]] 7.14491053332 650559.508314
[[98.0, 131.0], [91.0, 129.0]] [[98.0, 136.0], [108.0, 144.0]] 10.1306535712 650633.260586
[[38.0, 159.0], [47.0, 177.0]] [[108.0, 144.0], [97.0, 146.0]] 51.1849145387 651663.337121
[[0.0, 630.0], [47.0, 177.0]] [[98.0, 136.0], [97.0, 146.0]] 472.177717341 866708.020335
[[38.0, 159.0], [32.0, 140.0]] [[31.0, 158.0], [42.0, 177.0]] 15.5559337422 867017.970119
[[32.0, 140.0], [67.0, 156.0]] [[0.0, 630.0], [42.0, 177.0]] 456.477071691 884584.925474
[[38.0, 159.0], [67.0, 156.0]] [[31.0, 158.0], [24.0, 138.0]] 20.5387597011 885183.728073
[[67.0, 156.0], [47.0, 177.0]] [[31.0, 158.0], [55.0, 150.0]] 18.758712521 885727.730736
[[47.0, 177.0], [59.0, 193.0]] [[108.0, 133.0], [117.0, 130.0]] 77.0597136372 887268.925009
[[0.0, 630.0], [59.0, 193.0]] [[108.0, 144.0], [117.0, 130.0]] 465.987284743 1092752.93869
[[159.0, 144.0], [113.0, 128.0]] [[42.0, 177.0], [56.0, 193.0]] 87.5456678357 1097016.69134
[[113.0, 128.0], [165.0, 124.0]] [[0.0, 630.0], [56.0, 193.0]] 458.208053159 1120913.89968
[[159.0, 144.0], [165.0, 124.0]] [[42.0, 177.0], [31.0, 158.0]] 109.068985748 1123191.32696
[[113.0, 128.0], [159.0, 144.0]] [[42.0, 177.0], [55.0, 150.0]] 84.3321597731 1127298.57154
[[159.0, 144.0], [125.0, 157.0]] [[99.0, 107.0], [78.0, 129.0]] 60.689920479 1129507.71799
[[113.0, 128.0], [125.0, 157.0]] [[78.0, 129.0], [76.0, 82.0]] 43.4843205681 1130872.46077
[[59.0, 193.0], [75.0, 202.0]] [[99.0, 107.0], [76.0, 82.0]] 92.0355731035 1132562.0093
[[0.0, 630.0], [75.0, 202.0]] [[78.0, 129.0], [99.0, 107.0]] 474.988805652 1338954.89371
